x p_n v p_e
0 1 0.1818182446 1
0.01 0.9981818176 0.1818182446 0.9981818176
0.02 0.9963636351 0.1818182446 0.9963636351
0.03 0.9945454527 0.1818182446 0.9945454527
0.04 0.9927272702 0.1818182446 0.9927272702
0.05 0.9909090878 0.1818182446 0.9909090878
0.06 0.9890909053 0.1818182446 0.9890909053
0.07 0.9872727229 0.1818182446 0.9872727229
0.08 0.9854545404 0.1818182446 0.9854545404
0.09 0.983636358 0.1818182446 0.983636358
0.1 0.9818181755 0.1818182446 0.9818181755
0.11 0.9799999931 0.1818182446 0.9799999931
0.12 0.9781818106 0.1818182446 0.9781818106
0.13 0.9763636282 0.1818182446 0.9763636282
0.14 0.9745454458 0.1818182446 0.9745454458
0.15 0.9727272633 0.1818182446 0.9727272633
0.16 0.9709090809 0.1818182446 0.9709090809
0.17 0.9690908984 0.1818182446 0.9690908984
0.18 0.967272716 0.1818182446 0.967272716
0.19 0.9654545335 0.1818182446 0.9654545335
0.2 0.9636363511 0.1818182446 0.9636363511
0.21 0.9618181686 0.1818182446 0.9618181686
0.22 0.9599999862 0.1818182446 0.9599999862
0.23 0.9581818037 0.1818182446 0.9581818037
0.24 0.9563636213 0.1818182446 0.9563636213
0.25 0.9545454388 0.1818182446 0.9545454388
0.26 0.9527272564 0.1818182446 0.9527272564
0.27 0.950909074 0.1818182446 0.950909074
0.28 0.9490908915 0.1818182446 0.9490908915
0.29 0.9472727091 0.1818182446 0.9472727091
0.3 0.9454545266 0.1818182446 0.9454545266
0.31 0.9436363442 0.1818182446 0.9436363442
0.32 0.9418181617 0.1818182446 0.9418181617
0.33 0.9399999793 0.1818182446 0.9399999793
0.34 0.9381817968 0.1818182446 0.9381817968
0.35 0.9363636144 0.1818182446 0.9363636144
0.36 0.9345454319 0.1818182446 0.9345454319
0.37 0.9327272495 0.1818182446 0.9327272495
0.38 0.930909067 0.1818182446 0.930909067
0.39 0.9290908846 0.1818182446 0.9290908846
0.4 0.9272727021 0.1818182446 0.9272727021
0.41 0.9254545197 0.1818182446 0.9254545197
0.42 0.9236363373 0.1818182446 0.9236363373
0.43 0.9218181548 0.1818182446 0.9218181548
0.44 0.9199999724 0.1818182446 0.9199999724
0.45 0.9181817899 0.1818182446 0.9181817899
0.46 0.9163636075 0.1818182446 0.9163636075
0.47 0.914545425 0.1818182446 0.914545425
0.48 0.9127272426 0.1818182446 0.9127272426
0.49 0.9109090601 0.1818182446 0.9109090601
0.5 0.9090908777 0.1818182446 0.9090908777
0.51 0.9072726952 0.1818182446 0.9072726952
0.52 0.9054545128 0.1818182446 0.9054545128
0.53 0.9036363303 0.1818182446 0.9036363303
0.54 0.9018181479 0.1818182446 0.9018181479
0.55 0.8999999655 0.1818182446 0.8999999655
0.56 0.898181783 0.1818182446 0.898181783
0.57 0.8963636006 0.1818182446 0.8963636006
0.58 0.8945454181 0.1818182446 0.8945454181
0.59 0.8927272357 0.1818182446 0.8927272357
0.6 0.8909090532 0.1818182446 0.8909090532
0.61 0.8890908708 0.1818182446 0.8890908708
0.62 0.8872726883 0.1818182446 0.8872726883
0.63 0.8854545059 0.1818182446 0.8854545059
0.64 0.8836363234 0.1818182446 0.8836363234
0.65 0.881818141 0.1818182446 0.881818141
0.66 0.8799999585 0.1818182446 0.8799999585
0.67 0.8781817761 0.1818182446 0.8781817761
0.68 0.8763635937 0.1818182446 0.8763635937
0.69 0.8745454112 0.1818182446 0.8745454112
0.7 0.8727272288 0.1818182446 0.8727272288
0.71 0.8709090463 0.1818182446 0.8709090463
0.72 0.8690908639 0.1818182446 0.8690908639
0.73 0.8672726814 0.1818182446 0.8672726814
0.74 0.865454499 0.1818182446 0.865454499
0.75 0.8636363165 0.1818182446 0.8636363165
0.76 0.8290908639 0.1818182446 0.8290908639
0.77 0.7945454112 0.1818182446 0.7945454112
0.78 0.7599999585 0.1818182446 0.7599999585
0.79 0.7254545059 0.1818182446 0.7254545059
0.8 0.6909090532 0.1818182446 0.6909090532
0.81 0.6563636006 0.1818182446 0.6563636006
0.82 0.6218181479 0.1818182446 0.6218181479
0.83 0.5872726952 0.1818182446 0.5872726952
0.84 0.5527272426 0.1818182446 0.5527272426
0.85 0.5181817899 0.1818182446 0.5181817899
0.86 0.4836363373 0.1818182446 0.4836363373
0.87 0.4490908846 0.1818182446 0.4490908846
0.88 0.4145454319 0.1818182446 0.4145454319
0.89 0.3799999793 0.1818182446 0.3799999793
0.9 0.3454545266 0.1818182446 0.3454545266
0.91 0.310909074 0.1818182446 0.310909074
0.92 0.2763636213 0.1818182446 0.2763636213
0.93 0.2418181686 0.1818182446 0.2418181686
0.94 0.207272716 0.1818182446 0.207272716
0.95 0.1727272633 0.1818182446 0.1727272633
0.96 0.1381818106 0.1818182446 0.1381818106
0.97 0.103636358 0.1818182446 0.103636358
0.98 0.06909090532 0.1818182446 0.06909090532
0.99 0.03454545266 0.1818182446 0.03454545266
1 0 -0
