r p
0.0338167 4.76047e-17
0.0347833 1.40131e-16
0.03575 2.30799e-16
0.0367167 3.20924e-16
0.0376833 4.11698e-16
0.03865 5.04215e-16
0.0396167 5.99497e-16
0.0405833 6.98515e-16
0.04155 8.02203e-16
0.0425167 9.11474e-16
0.0434833 1.02723e-15
0.04445 1.15038e-15
0.0454167 1.28185e-15
0.0463833 1.42256e-15
0.04735 1.57348e-15
0.0483167 1.73561e-15
0.0492833 1.91e-15
0.05025 2.09772e-15
0.0512167 2.29993e-15
0.0521833 2.51782e-15
0.05315 2.75266e-15
0.0541167 3.0058e-15
0.0550833 3.27864e-15
0.05605 3.5727e-15
0.0570167 3.88957e-15
0.0579833 4.23094e-15
0.05895 4.5986e-15
0.0599167 4.99445e-15
0.0608833 5.42053e-15
0.06185 5.87898e-15
0.0628167 6.37208e-15
0.0637833 6.90226e-15
0.06475 7.47209e-15
0.0657167 8.0843e-15
0.0666833 8.74179e-15
0.06765 9.44765e-15
0.0686167 1.02051e-14
0.0695833 1.10177e-14
0.07055 1.18891e-14
0.0715167 1.28232e-14
0.0724833 1.3824e-14
0.07345 1.48961e-14
0.0744167 1.60441e-14
0.0753833 1.72728e-14
0.07635 1.85876e-14
0.0773167 1.99939e-14
0.0782833 2.14975e-14
0.07925 2.31048e-14
0.0802167 2.48223e-14
0.0811833 2.66568e-14
0.08215 2.86158e-14
0.0831167 3.07071e-14
0.0840833 3.29388e-14
0.08505 3.53196e-14
0.0860167 3.78587e-14
0.0869833 4.05659e-14
0.08795 4.34514e-14
0.0889167 4.65261e-14
0.0898833 4.98013e-14
0.09085 5.32892e-14
0.0918167 5.70025e-14
0.0927833 6.09548e-14
0.09375 6.51601e-14
0.0947167 6.96336e-14
0.0956833 7.43911e-14
0.09665 7.94492e-14
0.0976167 8.48255e-14
0.0985833 9.05387e-14
0.09955 9.66082e-14
0.100517 1.03055e-13
0.101483 1.099e-13
0.10245 1.17167e-13
0.103417 1.24879e-13
0.104383 1.33063e-13
0.10535 1.41744e-13
0.106317 1.50952e-13
0.107283 1.60715e-13
0.10825 1.71065e-13
0.109217 1.82034e-13
0.110183 1.93658e-13
0.11115 2.05972e-13
0.112117 2.19015e-13
0.113083 2.32827e-13
0.11405 2.47449e-13
0.115017 2.62928e-13
0.115983 2.79308e-13
0.11695 2.9664e-13
0.117917 3.14974e-13
0.118883 3.34366e-13
0.11985 3.54871e-13
0.120817 3.7655e-13
0.121783 3.99465e-13
0.12275 4.23683e-13
0.123717 4.49271e-13
0.124683 4.76304e-13
0.12565 5.04857e-13
0.126617 5.35011e-13
0.127583 5.66848e-13
0.12855 6.00458e-13
0.129517 6.35932e-13
0.130483 6.73367e-13
0.13145 7.12866e-13
0.132417 7.54534e-13
0.133383 7.98483e-13
0.13435 8.4483e-13
0.135317 8.93699e-13
0.136283 9.45217e-13
0.13725 9.99519e-13
0.138217 1.05675e-12
0.139183 1.11705e-12
0.14015 1.18058e-12
0.141117 1.2475e-12
0.142083 1.31798e-12
0.14305 1.3922e-12
0.144017 1.47035e-12
0.144983 1.55261e-12
0.14595 1.6392e-12
0.146917 1.73033e-12
0.147883 1.82622e-12
0.14885 1.9271e-12
0.149817 2.03323e-12
0.150783 2.14485e-12
0.15175 2.26224e-12
0.152717 2.38567e-12
0.153683 2.51545e-12
0.15465 2.65186e-12
0.155617 2.79524e-12
0.156583 2.94593e-12
0.15755 3.10426e-12
0.158517 3.27061e-12
0.159483 3.44536e-12
0.16045 3.62891e-12
0.161417 3.82168e-12
0.162383 4.0241e-12
0.16335 4.23663e-12
0.164317 4.45974e-12
0.165283 4.69394e-12
0.16625 4.93975e-12
0.167217 5.1977e-12
0.168183 5.46836e-12
0.16915 5.75233e-12
0.170117 6.05023e-12
0.171083 6.36269e-12
0.17205 6.69039e-12
0.173017 7.03404e-12
0.173983 7.39436e-12
0.17495 7.77212e-12
0.175917 8.16813e-12
0.176883 8.58321e-12
0.17785 9.01823e-12
0.178817 9.4741e-12
0.179783 9.95176e-12
0.18075 1.04522e-11
0.181717 1.09764e-11
0.182683 1.15256e-11
0.18365 1.21007e-11
0.184617 1.2703e-11
0.185583 1.33337e-11
0.18655 1.3994e-11
0.187517 1.46853e-11
0.188483 1.54089e-11
0.18945 1.61663e-11
0.190417 1.69589e-11
0.191383 1.77884e-11
0.19235 1.86563e-11
0.193317 1.95644e-11
0.194283 2.05143e-11
0.19525 2.1508e-11
0.196217 2.25473e-11
0.197183 2.36343e-11
0.19815 2.47709e-11
0.199117 2.59594e-11
0.200083 2.7202e-11
0.20105 2.8501e-11
0.202017 2.98589e-11
0.202983 3.12782e-11
0.20395 3.27615e-11
0.204917 3.43116e-11
0.205883 3.59313e-11
0.20685 3.76237e-11
0.207817 3.93917e-11
0.208783 4.12387e-11
0.20975 4.31679e-11
0.210717 4.51828e-11
0.211683 4.72871e-11
0.21265 4.94846e-11
0.213617 5.1779e-11
0.214583 5.41746e-11
0.21555 5.66756e-11
0.216517 5.92864e-11
0.217483 6.20115e-11
0.21845 6.48557e-11
0.219417 6.78239e-11
0.220383 7.09214e-11
0.22135 7.41535e-11
0.222317 7.75257e-11
0.223283 8.10438e-11
0.22425 8.47139e-11
0.225217 8.85421e-11
0.226183 9.2535e-11
0.22715 9.66993e-11
0.228117 1.01042e-10
0.229083 1.0557e-10
0.23005 1.10292e-10
0.231017 1.15215e-10
0.231983 1.20347e-10
0.23295 1.25697e-10
0.233917 1.31273e-10
0.234883 1.37085e-10
0.23585 1.43143e-10
0.236817 1.49455e-10
0.237783 1.56033e-10
0.23875 1.62886e-10
0.239717 1.70027e-10
0.240683 1.77466e-10
0.24165 1.85215e-10
0.242617 1.93287e-10
0.243583 2.01694e-10
0.24455 2.1045e-10
0.245517 2.19569e-10
0.246483 2.29065e-10
0.24745 2.38952e-10
0.248417 2.49247e-10
0.249383 2.59965e-10
0.25035 2.71123e-10
0.251317 2.82738e-10
0.252283 2.94827e-10
0.25325 3.0741e-10
0.254217 3.20506e-10
0.255183 3.34135e-10
0.25615 3.48317e-10
0.257117 3.63073e-10
0.258083 3.78427e-10
0.25905 3.94401e-10
0.260017 4.11019e-10
0.260983 4.28305e-10
0.26195 4.46287e-10
0.262917 4.64989e-10
0.263883 4.84441e-10
0.26485 5.0467e-10
0.265817 5.25706e-10
0.266783 5.47581e-10
0.26775 5.70325e-10
0.268717 5.93973e-10
0.269683 6.18558e-10
0.27065 6.44116e-10
0.271617 6.70683e-10
0.272583 6.98299e-10
0.27355 7.27002e-10
0.274517 7.56833e-10
0.275483 7.87836e-10
0.27645 8.20053e-10
0.277417 8.5353e-10
0.278383 8.88315e-10
0.27935 9.24456e-10
0.280317 9.62005e-10
0.281283 1.00101e-09
0.28225 1.04153e-09
0.283217 1.08363e-09
0.284183 1.12735e-09
0.28515 1.17275e-09
0.286117 1.21991e-09
0.287083 1.26889e-09
0.28805 1.31975e-09
0.289017 1.37256e-09
0.289983 1.42739e-09
0.29095 1.48432e-09
0.291917 1.54343e-09
0.292883 1.60479e-09
0.29385 1.66848e-09
0.294817 1.7346e-09
0.295783 1.80323e-09
0.29675 1.87446e-09
0.297717 1.94839e-09
0.298683 2.02511e-09
0.29965 2.10473e-09
0.300617 2.18735e-09
0.301583 2.27307e-09
0.30255 2.36202e-09
0.303517 2.4543e-09
0.304483 2.55004e-09
0.30545 2.64936e-09
0.306417 2.75239e-09
0.307383 2.85926e-09
0.30835 2.97011e-09
0.309317 3.08508e-09
0.310283 3.20431e-09
0.31125 3.32797e-09
0.312217 3.45621e-09
0.313183 3.58919e-09
0.31415 3.72707e-09
0.315117 3.87004e-09
0.316083 4.01827e-09
0.31705 4.17195e-09
0.318017 4.33127e-09
0.318983 4.49642e-09
0.31995 4.66763e-09
0.320917 4.84508e-09
0.321883 5.02901e-09
0.32285 5.21965e-09
0.323817 5.41722e-09
0.324783 5.62198e-09
0.32575 5.83416e-09
0.326717 6.05403e-09
0.327683 6.28186e-09
0.32865 6.51792e-09
0.329617 6.7625e-09
0.330583 7.0159e-09
0.33155 7.27841e-09
0.332517 7.55036e-09
0.333483 7.83207e-09
0.33445 8.12388e-09
0.335417 8.42613e-09
0.336383 8.73919e-09
0.33735 9.06342e-09
0.338317 9.39921e-09
0.339283 9.74696e-09
0.34025 1.01071e-08
0.341217 1.048e-08
0.342183 1.08661e-08
0.34315 1.12659e-08
0.344117 1.16798e-08
0.345083 1.21084e-08
0.34605 1.2552e-08
0.347017 1.30113e-08
0.347983 1.34868e-08
0.34895 1.39789e-08
0.349917 1.44884e-08
0.350883 1.50156e-08
0.35185 1.55614e-08
0.352817 1.61262e-08
0.353783 1.67107e-08
0.35475 1.73156e-08
0.355717 1.79416e-08
0.356683 1.85893e-08
0.35765 1.92596e-08
0.358617 1.9953e-08
0.359583 2.06705e-08
0.36055 2.14129e-08
0.361517 2.21808e-08
0.362483 2.29753e-08
0.36345 2.37972e-08
0.364417 2.46473e-08
0.365383 2.55267e-08
0.36635 2.64363e-08
0.367317 2.73771e-08
0.368283 2.83501e-08
0.36925 2.93564e-08
0.370217 3.03971e-08
0.371183 3.14733e-08
0.37215 3.25861e-08
0.373117 3.37369e-08
0.374083 3.49268e-08
0.37505 3.61571e-08
0.376017 3.74291e-08
0.376983 3.87443e-08
0.37795 4.01039e-08
0.378917 4.15095e-08
0.379883 4.29625e-08
0.38085 4.44646e-08
0.381817 4.60172e-08
0.382783 4.7622e-08
0.38375 4.92807e-08
0.384717 5.09951e-08
0.385683 5.2767e-08
0.38665 5.45982e-08
0.387617 5.64906e-08
0.388583 5.84462e-08
0.38955 6.04671e-08
0.390517 6.25553e-08
0.391483 6.4713e-08
0.39245 6.69424e-08
0.393417 6.92459e-08
0.394383 7.16257e-08
0.39535 7.40844e-08
0.396317 7.66244e-08
0.397283 7.92484e-08
0.39825 8.1959e-08
0.399217 8.4759e-08
0.400183 8.76512e-08
0.40115 9.06386e-08
0.402117 9.37241e-08
0.403083 9.69109e-08
0.40405 1.00202e-07
0.405017 1.03601e-07
0.405983 1.07112e-07
0.40695 1.10737e-07
0.407917 1.1448e-07
0.408883 1.18345e-07
0.40985 1.22337e-07
0.410817 1.26458e-07
0.411783 1.30713e-07
0.41275 1.35106e-07
0.413717 1.39642e-07
0.414683 1.44324e-07
0.41565 1.49158e-07
0.416617 1.54148e-07
0.417583 1.593e-07
0.41855 1.64617e-07
0.419517 1.70106e-07
0.420483 1.75771e-07
0.42145 1.81618e-07
0.422417 1.87654e-07
0.423383 1.93882e-07
0.42435 2.00311e-07
0.425317 2.06944e-07
0.426283 2.13791e-07
0.42725 2.20855e-07
0.428217 2.28145e-07
0.429183 2.35667e-07
0.43015 2.43429e-07
0.431117 2.51438e-07
0.432083 2.59701e-07
0.43305 2.68226e-07
0.434017 2.77021e-07
0.434983 2.86095e-07
0.43595 2.95456e-07
0.436917 3.05113e-07
0.437883 3.15074e-07
0.43885 3.2535e-07
0.439817 3.35949e-07
0.440783 3.46882e-07
0.44175 3.58158e-07
0.442717 3.69788e-07
0.443683 3.81784e-07
0.44465 3.94155e-07
0.445617 4.06913e-07
0.446583 4.20071e-07
0.44755 4.33639e-07
0.448517 4.47631e-07
0.449483 4.62059e-07
0.45045 4.76936e-07
0.451417 4.92277e-07
0.452383 5.08094e-07
0.45335 5.24402e-07
0.454317 5.41216e-07
0.455283 5.58551e-07
0.45625 5.76423e-07
0.457217 5.94847e-07
0.458183 6.1384e-07
0.45915 6.3342e-07
0.460117 6.53603e-07
0.461083 6.74408e-07
0.46205 6.95854e-07
0.463017 7.17958e-07
0.463983 7.40741e-07
0.46495 7.64224e-07
0.465917 7.88426e-07
0.466883 8.13369e-07
0.46785 8.39075e-07
0.468817 8.65566e-07
0.469783 8.92867e-07
0.47075 9.20999e-07
0.471717 9.4999e-07
0.472683 9.79862e-07
0.47365 1.01064e-06
0.474617 1.04236e-06
0.475583 1.07504e-06
0.47655 1.10871e-06
0.477517 1.1434e-06
0.478483 1.17914e-06
0.47945 1.21596e-06
0.480417 1.25389e-06
0.481383 1.29297e-06
0.48235 1.33322e-06
0.483317 1.37469e-06
0.484283 1.41741e-06
0.48525 1.46141e-06
0.486217 1.50673e-06
0.487183 1.55341e-06
0.48815 1.60149e-06
0.489117 1.65101e-06
0.490083 1.70201e-06
0.49105 1.75454e-06
0.492017 1.80863e-06
0.492983 1.86434e-06
0.49395 1.92172e-06
0.494917 1.98079e-06
0.495883 2.04163e-06
0.49685 2.10428e-06
0.497817 2.16878e-06
0.498783 2.2352e-06
0.49975 2.30359e-06
0.500717 2.37401e-06
0.501683 2.44651e-06
0.50265 2.52115e-06
0.503617 2.598e-06
0.504583 2.67711e-06
0.50555 2.75856e-06
0.506517 2.84241e-06
0.507483 2.92872e-06
0.50845 3.01757e-06
0.509417 3.10903e-06
0.510383 3.20318e-06
0.51135 3.30009e-06
0.512317 3.39983e-06
0.513283 3.5025e-06
0.51425 3.60817e-06
0.515217 3.71692e-06
0.516183 3.82885e-06
0.51715 3.94405e-06
0.518117 4.0626e-06
0.519083 4.1846e-06
0.52005 4.31016e-06
0.521017 4.43936e-06
0.521983 4.57231e-06
0.52295 4.70912e-06
0.523917 4.8499e-06
0.524883 4.99475e-06
0.52585 5.1438e-06
0.526817 5.29715e-06
0.527783 5.45494e-06
0.52875 5.61727e-06
0.529717 5.78429e-06
0.530683 5.95612e-06
0.53165 6.1329e-06
0.532617 6.31476e-06
0.533583 6.50185e-06
0.53455 6.6943e-06
0.535517 6.89228e-06
0.536483 7.09594e-06
0.53745 7.30542e-06
0.538417 7.5209e-06
0.539383 7.74254e-06
0.54035 7.97051e-06
0.541317 8.20499e-06
0.542283 8.44615e-06
0.54325 8.69418e-06
0.544217 8.94928e-06
0.545183 9.21162e-06
0.54615 9.48143e-06
0.547117 9.7589e-06
0.548083 1.00442e-05
0.54905 1.03377e-05
0.550017 1.06394e-05
0.550983 1.09497e-05
0.55195 1.12687e-05
0.552917 1.15968e-05
0.553883 1.19341e-05
0.55485 1.22809e-05
0.555817 1.26376e-05
0.556783 1.30042e-05
0.55775 1.33812e-05
0.558717 1.37688e-05
0.559683 1.41672e-05
0.56065 1.45768e-05
0.561617 1.4998e-05
0.562583 1.54309e-05
0.56355 1.58759e-05
0.564517 1.63334e-05
0.565483 1.68037e-05
0.56645 1.72871e-05
0.567417 1.7784e-05
0.568383 1.82948e-05
0.56935 1.88198e-05
0.570317 1.93594e-05
0.571283 1.9914e-05
0.57225 2.04841e-05
0.573217 2.10699e-05
0.574183 2.1672e-05
0.57515 2.22908e-05
0.576117 2.29268e-05
0.577083 2.35804e-05
0.57805 2.4252e-05
0.579017 2.49422e-05
0.579983 2.56515e-05
0.58095 2.63803e-05
0.581917 2.71292e-05
0.582883 2.78988e-05
0.58385 2.86895e-05
0.584817 2.9502e-05
0.585783 3.03368e-05
0.58675 3.11946e-05
0.587717 3.20759e-05
0.588683 3.29813e-05
0.58965 3.39116e-05
0.590617 3.48673e-05
0.591583 3.58492e-05
0.59255 3.68579e-05
0.593517 3.78942e-05
0.594483 3.89587e-05
0.59545 4.00523e-05
0.596417 4.11757e-05
0.597383 4.23296e-05
0.59835 4.3515e-05
0.599317 4.47326e-05
0.600283 4.59832e-05
0.60125 4.72678e-05
0.602217 4.85873e-05
0.603183 4.99425e-05
0.60415 5.13344e-05
0.605117 5.2764e-05
0.606083 5.42323e-05
0.60705 5.57402e-05
0.608017 5.72888e-05
0.608983 5.88792e-05
0.60995 6.05125e-05
0.610917 6.21898e-05
0.611883 6.39122e-05
0.61285 6.5681e-05
0.613817 6.74973e-05
0.614783 6.93624e-05
0.61575 7.12775e-05
0.616717 7.3244e-05
0.617683 7.52632e-05
0.61865 7.73365e-05
0.619617 7.94653e-05
0.620583 8.16509e-05
0.62155 8.3895e-05
0.622517 8.61989e-05
0.623483 8.85644e-05
0.62445 9.09928e-05
0.625417 9.3486e-05
0.626383 9.60456e-05
0.62735 9.86732e-05
0.628317 0.000101371
0.629283 0.00010414
0.63025 0.000106982
0.631217 0.0001099
0.632183 0.000112896
0.63315 0.00011597
0.634117 0.000119126
0.635083 0.000122366
0.63605 0.000125691
0.637017 0.000129104
0.637983 0.000132607
0.63895 0.000136202
0.639917 0.000139892
0.640883 0.000143679
0.64185 0.000147566
0.642817 0.000151555
0.643783 0.000155649
0.64475 0.00015985
0.645717 0.000164161
0.646683 0.000168586
0.64765 0.000173126
0.648617 0.000177785
0.649583 0.000182567
0.65055 0.000187473
0.651517 0.000192507
0.652483 0.000197673
0.65345 0.000202973
0.654417 0.000208412
0.655383 0.000213992
0.65635 0.000219718
0.657317 0.000225592
0.658283 0.000231619
0.65925 0.000237803
0.660217 0.000244147
0.661183 0.000250656
0.66215 0.000257334
0.663117 0.000264184
0.664083 0.000271212
0.66505 0.000278421
0.666017 0.000285817
0.666983 0.000293404
0.66795 0.000301187
0.668917 0.000309171
0.669883 0.00031736
0.67085 0.00032576
0.671817 0.000334377
0.672783 0.000343215
0.67375 0.000352281
0.674717 0.000361579
0.675683 0.000371116
0.67665 0.000380897
0.677617 0.00039093
0.678583 0.000401219
0.67955 0.000411772
0.680517 0.000422595
0.681483 0.000433694
0.68245 0.000445077
0.683417 0.000456751
0.684383 0.000468722
0.68535 0.000480999
0.686317 0.000493589
0.687283 0.000506499
0.68825 0.000519737
0.689217 0.000533312
0.690183 0.000547233
0.69115 0.000561506
0.692117 0.000576142
0.693083 0.000591149
0.69405 0.000606536
0.695017 0.000622314
0.695983 0.00063849
0.69695 0.000655075
0.697917 0.00067208
0.698883 0.000689514
0.69985 0.000707389
0.700817 0.000725714
0.701783 0.000744501
0.70275 0.000763761
0.703717 0.000783507
0.704683 0.000803749
0.70565 0.0008245
0.706617 0.000845772
0.707583 0.000867579
0.70855 0.000889932
0.709517 0.000912846
0.710483 0.000936335
0.71145 0.000960412
0.712417 0.000985091
0.713383 0.00101039
0.71435 0.00103632
0.715317 0.00106289
0.716283 0.00109013
0.71725 0.00111805
0.718217 0.00114667
0.719183 0.001176
0.72015 0.00120606
0.721117 0.00123686
0.722083 0.00126843
0.72305 0.00130079
0.724017 0.00133395
0.724983 0.00136794
0.72595 0.00140276
0.726917 0.00143845
0.727883 0.00147503
0.72885 0.00151251
0.729817 0.00155091
0.730783 0.00159027
0.73175 0.0016306
0.732717 0.00167192
0.733683 0.00171427
0.73465 0.00175765
0.735617 0.00180211
0.736583 0.00184766
0.73755 0.00189434
0.738517 0.00194216
0.739483 0.00199116
0.74045 0.00204136
0.741417 0.00209279
0.742383 0.00214549
0.74335 0.00219948
0.744317 0.00225479
0.745283 0.00231146
0.74625 0.00236951
0.747217 0.00242898
0.748183 0.00248991
0.74915 0.00255233
0.750117 0.00261627
0.751083 0.00268177
0.75205 0.00274886
0.753017 0.00281759
0.753983 0.002888
0.75495 0.00296012
0.755917 0.003034
0.756883 0.00310967
0.75785 0.00318717
0.758817 0.00326656
0.759783 0.00334788
0.76075 0.00343117
0.761717 0.00351648
0.762683 0.00360385
0.76365 0.00369334
0.764617 0.003785
0.765583 0.00387887
0.76655 0.00397501
0.767517 0.00407346
0.768483 0.0041743
0.76945 0.00427757
0.770417 0.00438333
0.771383 0.00449163
0.77235 0.00460254
0.773317 0.00471613
0.774283 0.00483244
0.77525 0.00495155
0.776217 0.00507351
0.777183 0.00519841
0.77815 0.0053263
0.779117 0.00545726
0.780083 0.00559136
0.78105 0.00572867
0.782017 0.00586926
0.782983 0.00601322
0.78395 0.00616061
0.784917 0.00631153
0.785883 0.00646605
0.78685 0.00662426
0.787817 0.00678625
0.788783 0.00695209
0.78975 0.00712188
0.790717 0.00729572
0.791683 0.00747369
0.79265 0.00765589
0.793617 0.00784242
0.794583 0.00803338
0.79555 0.00822888
0.796517 0.00842901
0.797483 0.00863389
0.79845 0.00884362
0.799417 0.00905831
0.800383 0.00927809
0.80135 0.00950307
0.802317 0.00973337
0.803283 0.0099691
0.80425 0.0102104
0.805217 0.0104574
0.806183 0.0107102
0.80715 0.010969
0.808117 0.0112339
0.809083 0.011505
0.81005 0.0117825
0.811017 0.0120665
0.811983 0.0123572
0.81295 0.0126547
0.813917 0.0129592
0.814883 0.0132709
0.81585 0.0135898
0.816817 0.0139163
0.817783 0.0142504
0.81875 0.0145923
0.819717 0.0149422
0.820683 0.0153003
0.82165 0.0156667
0.822617 0.0160417
0.823583 0.0164255
0.82455 0.0168182
0.825517 0.0172201
0.826483 0.0176313
0.82745 0.0180521
0.828417 0.0184827
0.829383 0.0189234
0.83035 0.0193743
0.831317 0.0198356
0.832283 0.0203077
0.83325 0.0207907
0.834217 0.021285
0.835183 0.0217907
0.83615 0.0223081
0.837117 0.0228375
0.838083 0.0233791
0.83905 0.0239333
0.840017 0.0245003
0.840983 0.0250804
0.84195 0.0256739
0.842917 0.0262811
0.843883 0.0269023
0.84485 0.0275379
0.845817 0.028188
0.846783 0.0288532
0.84775 0.0295337
0.848717 0.0302298
0.849683 0.0309419
0.85065 0.0316704
0.851617 0.0324157
0.852583 0.033178
0.85355 0.0339579
0.854517 0.0347556
0.855483 0.0355716
0.85645 0.0364063
0.857417 0.0372601
0.858383 0.0381335
0.85935 0.0390268
0.860317 0.0399405
0.861283 0.0408751
0.86225 0.0418311
0.863217 0.0428089
0.864183 0.043809
0.86515 0.0448318
0.866117 0.045878
0.867083 0.046948
0.86805 0.0480424
0.869017 0.0491616
0.869983 0.0503063
0.87095 0.0514771
0.871917 0.0526744
0.872883 0.0538988
0.87385 0.0551511
0.874817 0.0564317
0.875783 0.0577414
0.87675 0.0590808
0.877717 0.0604504
0.878683 0.0618511
0.87965 0.0632834
0.880617 0.0647481
0.881583 0.0662459
