N Norm
20 1.76063e-16
30 0.00371458
40 0.00336111
50 0.0017439
60 0.0236566
70 -nan(ind)
80 -nan(ind)
90 0.00637229
100 0.00259031
110 -nan(ind)
120 0.00186055
130 0.00164449
140 0.00257225
150 0.00291654
160 0.00155093
170 0.000973518
180 -nan(ind)
190 0.00224846
200 -nan(ind)
210 -nan(ind)
220 0.00311848
230 -nan(ind)
240 -nan(ind)
250 -nan(ind)
260 -nan(ind)
270 -nan(ind)
280 -nan(ind)
290 0.0032783
300 -nan(ind)
310 -nan(ind)
320 0.00151562
330 -nan(ind)
340 -nan(ind)
350 -nan(ind)
360 -nan(ind)
370 -nan(ind)
380 -nan(ind)
390 -nan(ind)
400 0.0022469
410 -nan(ind)
420 -nan(ind)
430 -nan(ind)
440 -nan(ind)
450 -nan(ind)
460 -nan(ind)
470 -nan(ind)
480 -nan(ind)
490 -nan(ind)
500 -nan(ind)
510 -nan(ind)
520 -nan(ind)
530 -nan(ind)
540 -nan(ind)
550 -nan(ind)
560 -nan(ind)
570 -nan(ind)
580 0.000742474
590 -nan(ind)
600 -nan(ind)
610 -nan(ind)
620 -nan(ind)
630 -nan(ind)
